Picture	Hrintensity	Effector	variant	Experiment
IM002107	5242.746906	1	varA	Exp04092020
IM002108	4725.461643	1	varA	Exp04092020
IM002109	4224.735005	1	varA	Exp04092020
IM002110	6035.850884	1	varA	Exp04092020
IM002111	7124.232863	1	varA	Exp04092020
IM002112	3868.097474	1	varA	Exp04092020
IM002113	3499.866186	1	varA	Exp04092020
IM002114	4159.619063	1	varA	Exp04092020
IM002115	2716.225057	1	varA	Exp04092020
IM002116	7820.417276	1	varA	Exp04092020
BlueL1	7145.864609	1	varA	Exp08062019
BlueL10	2101.239879	1	varA	Exp08062019
BlueL11	3635.672912	1	varA	Exp08062019
BlueL12	5306.505882	1	varA	Exp08062019
BlueL2	8684.180853	1	varA	Exp08062019
BlueL3	3916.75418	1	varA	Exp08062019
BlueL4	4135.955613	1	varA	Exp08062019
BlueL5	3581.280446	1	varA	Exp08062019
BlueL6	5370.471924	1	varA	Exp08062019
BlueL7	1838.178098	1	varA	Exp08062019
BlueL8	2952.772677	1	varA	Exp08062019
BlueL9	5403.011014	1	varA	Exp08062019
BlueL1	4915.55855	1	varA	Exp28082020
BlueL10	873.2226417	1	varA	Exp28082020
BlueL2	4729.541328	1	varA	Exp28082020
BlueL3	2277.547317	1	varA	Exp28082020
BlueL4	1048.777109	1	varA	Exp28082020
BlueL5	2104.109938	1	varA	Exp28082020
BlueL6	4582.103695	1	varA	Exp28082020
BlueL7	2958.04622	1	varA	Exp28082020
BlueL8	3537.014811	1	varA	Exp28082020
BlueL9	2155.653072	1	varA	Exp28082020
IM002107	1527.102456	2	varB	Exp04092020
IM002108	141.3369722	2	varB	Exp04092020
IM002109	674.6884978	2	varB	Exp04092020
IM002110	1376.512997	2	varB	Exp04092020
IM002111	646.2653119	2	varB	Exp04092020
IM002112	953.8881268	2	varB	Exp04092020
IM002113	465.3646879	2	varB	Exp04092020
IM002114	562.3908517	2	varB	Exp04092020
IM002115	658.1376873	2	varB	Exp04092020
IM002116	744.2537884	2	varB	Exp04092020
BlueL1	1544.165405	2	varB	Exp08062019
BlueL10	507.8333123	2	varB	Exp08062019
BlueL11	1155.284202	2	varB	Exp08062019
BlueL12	830.9130044	2	varB	Exp08062019
BlueL2	3782.089546	2	varB	Exp08062019
BlueL3	630.8860381	2	varB	Exp08062019
BlueL4	621.9817052	2	varB	Exp08062019
BlueL5	1441.699283	2	varB	Exp08062019
BlueL6	441.9535709	2	varB	Exp08062019
BlueL7	147.2680032	2	varB	Exp08062019
BlueL8	346.1340436	2	varB	Exp08062019
BlueL9	484.4377125	2	varB	Exp08062019
BlueL1	597.8476861	2	varB	Exp28082020
BlueL10	-104.7052587	2	varB	Exp28082020
BlueL2	132.4763018	2	varB	Exp28082020
BlueL3	605.7491694	2	varB	Exp28082020
BlueL4	68.59257825	2	varB	Exp28082020
BlueL5	533.9519339	2	varB	Exp28082020
BlueL6	211.5641607	2	varB	Exp28082020
BlueL7	818.9119454	2	varB	Exp28082020
BlueL8	320.0398414	2	varB	Exp28082020
BlueL9	-111.0738786	2	varB	Exp28082020
