Leaf	varA	varB	Experiment
IM002107	5242.746906	1527.102456	Exp04092020
IM002108	4725.461643	141.3369722	Exp04092020
IM002109	4224.735005	674.6884978	Exp04092020
IM002110	6035.850884	1376.512997	Exp04092020
IM002111	7124.232863	646.2653119	Exp04092020
IM002112	3868.097474	953.8881268	Exp04092020
IM002113	3499.866186	465.3646879	Exp04092020
IM002114	4159.619063	562.3908517	Exp04092020
IM002115	2716.225057	658.1376873	Exp04092020
IM002116	7820.417276	744.2537884	Exp04092020
BlueL1	7145.864609	1544.165405	Exp08062019
BlueL10	2101.239879	507.8333123	Exp08062019
BlueL11	3635.672912	1155.284202	Exp08062019
BlueL12	5306.505882	830.9130044	Exp08062019
BlueL2	8684.180853	3782.089546	Exp08062019
BlueL3	3916.75418	630.8860381	Exp08062019
BlueL4	4135.955613	621.9817052	Exp08062019
BlueL5	3581.280446	1441.699283	Exp08062019
BlueL6	5370.471924	441.9535709	Exp08062019
BlueL7	1838.178098	147.2680032	Exp08062019
BlueL8	2952.772677	346.1340436	Exp08062019
BlueL9	5403.011014	484.4377125	Exp08062019
BlueL1	4915.55855	597.8476861	Exp28082020
BlueL10	873.2226417	-104.7052587	Exp28082020
BlueL2	4729.541328	132.4763018	Exp28082020
BlueL3	2277.547317	605.7491694	Exp28082020
BlueL4	1048.777109	68.59257825	Exp28082020
BlueL5	2104.109938	533.9519339	Exp28082020
BlueL6	4582.103695	211.5641607	Exp28082020
BlueL7	2958.04622	818.9119454	Exp28082020
BlueL8	3537.014811	320.0398414	Exp28082020
BlueL9	2155.653072	-111.0738786	Exp28082020
