Leaf 	Hrintensity	Variant	Effector 	Experiment
RedL1	3544.680459	varA	1	Exp08082020
RedL2	4049.511949	varA	1	Exp08082020
RedL3	2043.231058	varA	1	Exp08082020
RedL4	2483.600285	varA	1	Exp08082020
RedL5	1432.939364	varA	1	Exp08082020
RedL6	3094.583169	varA	1	Exp08082020
RedL7	3235.403282	varA	1	Exp08082020
RedL8	1524.277608	varA	1	Exp08082020
RedL9	2472.06712	varA	1	Exp08082020
GreenL1.Tif	2441.86231	varA	1	Exp30092019
GreenL10.Tif	2718.277635	varA	1	Exp30092019
GreenL2.Tif	2628.264296	varA	1	Exp30092019
GreenL3.Tif	15482.89373	varA	1	Exp30092019
GreenL4.Tif	12683.37839	varA	1	Exp30092019
GreenL5.Tif	7639.783833	varA	1	Exp30092019
GreenL6.Tif	15622.60475	varA	1	Exp30092019
GreenL7.Tif	2607.803269	varA	1	Exp30092019
GreenL8.Tif	5995.078818	varA	1	Exp30092019
GreenL9.Tif	13755.43169	varA	1	Exp30092019
RedL1	367.1793004	varBgd	2	Exp08082020
RedL2	554.2347877	varBgd	2	Exp08082020
RedL3	169.6117354	varBgd	2	Exp08082020
RedL4	239.9023765	varBgd	2	Exp08082020
RedL5	366.9098021	varBgd	2	Exp08082020
RedL6	412.5652821	varBgd	2	Exp08082020
RedL7	332.9001667	varBgd	2	Exp08082020
RedL8	21.10000055	varBgd	2	Exp08082020
RedL9	245.8471357	varBgd	2	Exp08082020
GreenL1.Tif	136.7695074	varBgd	2	Exp30092019
GreenL10.Tif	189.589026	varBgd	2	Exp30092019
GreenL2.Tif	483.4637412	varBgd	2	Exp30092019
GreenL3.Tif	2432.127245	varBgd	2	Exp30092019
GreenL4.Tif	3167.071565	varBgd	2	Exp30092019
GreenL5.Tif	906.0136056	varBgd	2	Exp30092019
GreenL6.Tif	536.1903561	varBgd	2	Exp30092019
GreenL7.Tif	118.1334431	varBgd	2	Exp30092019
GreenL8.Tif	1005.655396	varBgd	2	Exp30092019
GreenL9.Tif	2905.880478	varBgd	2	Exp30092019
GreenL1	5845.276697	varA	1	Exp01012022
GreenL10	5198.8055	varA	1	Exp01012022
GreenL2	6990.916585	varA	1	Exp01012022
GreenL3	8003.27762	varA	1	Exp01012022
GreenL4	6963.396045	varA	1	Exp01012022
GreenL5	7419.031912	varA	1	Exp01012022
GreenL6	6138.749681	varA	1	Exp01012022
GreenL7	7074.317937	varA	1	Exp01012022
GreenL8	4774.342172	varA	1	Exp01012022
GreenL9	5932.612654	varA	1	Exp01012022
GreenL1	672.643154	varBgd	2	Exp01012022
GreenL10	565.3773617	varBgd	2	Exp01012022
GreenL2	195.2771504	varBgd	2	Exp01012022
GreenL3	700.5807214	varBgd	2	Exp01012022
GreenL4	-88.3406381	varBgd	2	Exp01012022
GreenL5	277.5724926	varBgd	2	Exp01012022
GreenL6	162.4202614	varBgd	2	Exp01012022
GreenL7	421.3066365	varBgd	2	Exp01012022
GreenL8	549.4977888	varBgd	2	Exp01012022
GreenL9	145.8893533	varBgd	2	Exp01012022
