Leaf	varA	varBgd	Experiment
GreenL1	5845.276697	672.643154	Exp01012022
GreenL10	5198.8055	565.3773617	Exp01012022
GreenL2	6990.916585	195.2771504	Exp01012022
GreenL3	8003.27762	700.5807214	Exp01012022
GreenL4	6963.396045	-88.3406381	Exp01012022
GreenL5	7419.031912	277.5724926	Exp01012022
GreenL6	6138.749681	162.4202614	Exp01012022
GreenL7	7074.317937	421.3066365	Exp01012022
GreenL8	4774.342172	549.4977888	Exp01012022
GreenL9	5932.612654	145.8893533	Exp01012022
RedL1	3544.680459	367.1793004	Exp08082020
RedL2	4049.511949	554.2347877	Exp08082020
RedL3	2043.231058	169.6117354	Exp08082020
RedL4	2483.600285	239.9023765	Exp08082020
RedL5	1432.939364	366.9098021	Exp08082020
RedL6	3094.583169	412.5652821	Exp08082020
RedL7	3235.403282	332.9001667	Exp08082020
RedL8	1524.277608	21.10000055	Exp08082020
RedL9	2472.06712	245.8471357	Exp08082020
GreenL1.Tif	2441.86231	136.7695074	Exp30092019
GreenL10.Tif	2718.277635	189.589026	Exp30092019
GreenL2.Tif	2628.264296	483.4637412	Exp30092019
GreenL3.Tif	15482.89373	2432.127245	Exp30092019
GreenL4.Tif	12683.37839	3167.071565	Exp30092019
GreenL5.Tif	7639.783833	906.0136056	Exp30092019
GreenL6.Tif	15622.60475	536.1903561	Exp30092019
GreenL7.Tif	2607.803269	118.1334431	Exp30092019
GreenL8.Tif	5995.078818	1005.655396	Exp30092019
GreenL9.Tif	13755.43169	2905.880478	Exp30092019
