Leaf 	Hrintensity	Variant	Effector 	Experiment
OrangeL1	5265.24234	varA	1	Exp03102019
OrangeL10	6304.378565	varA	1	Exp03102019
OrangeL2	4256.05576	varA	1	Exp03102019
OrangeL3	4324.615263	varA	1	Exp03102019
OrangeL4	2385.063804	varA	1	Exp03102019
OrangeL5	4615.286238	varA	1	Exp03102019
OrangeL6	1256.317843	varA	1	Exp03102019
OrangeL7	4666.203858	varA	1	Exp03102019
OrangeL8	3265.713838	varA	1	Exp03102019
OrangeL9	3972.339666	varA	1	Exp03102019
OrangeL1	3058.203503	varE	2	Exp03102019
OrangeL10	4076.970675	varE	2	Exp03102019
OrangeL2	2693.071198	varE	2	Exp03102019
OrangeL3	1701.794901	varE	2	Exp03102019
OrangeL4	535.4808423	varE	2	Exp03102019
OrangeL5	1306.044189	varE	2	Exp03102019
OrangeL6	528.2746694	varE	2	Exp03102019
OrangeL7	2681.797093	varE	2	Exp03102019
OrangeL8	1133.750421	varE	2	Exp03102019
OrangeL9	1659.326212	varE	2	Exp03102019
GreenL1	3558.641034	varA	1	Exp08082020
GreenL10	1298.426756	varA	1	Exp08082020
GreenL2	1842.962688	varA	1	Exp08082020
GreenL3	1091.685964	varA	1	Exp08082020
GreenL4	1062.269531	varA	1	Exp08082020
GreenL5	1092.987478	varA	1	Exp08082020
GreenL6	1583.50185	varA	1	Exp08082020
GreenL7	1553.578359	varA	1	Exp08082020
GreenL8	1380.328577	varA	1	Exp08082020
GreenL9	1564.710786	varA	1	Exp08082020
GreenL1	2407.115112	varE	2	Exp08082020
GreenL10	799.3817297	varE	2	Exp08082020
GreenL2	1202.996649	varE	2	Exp08082020
GreenL3	918.057946	varE	2	Exp08082020
GreenL4	682.6959749	varE	2	Exp08082020
GreenL5	1000.267271	varE	2	Exp08082020
GreenL6	961.4813871	varE	2	Exp08082020
GreenL7	790.349767	varE	2	Exp08082020
GreenL8	454.9714873	varE	2	Exp08082020
GreenL9	1741.265073	varE	2	Exp08082020
RedL1	6287.579751	varA	1	Exp14082020
RedL1	5093.145214	varE	2	Exp14082020
RedL2	7061.655053	varA	1	Exp14082020
RedL2	4419.830747	varE	2	Exp14082020
RedL3	5307.993199	varA	1	Exp14082020
RedL3	2082.599638	varE	2	Exp14082020
RedL4	4587.580951	varA	1	Exp14082020
RedL4	1869.854001	varE	2	Exp14082020
RedL5	4287.315467	varA	1	Exp14082020
RedL5	3465.332554	varE	2	Exp14082020
RedL6	3737.436986	varA	1	Exp14082020
RedL6	2147.015853	varE	2	Exp14082020
RedL7	5932.836831	varA	1	Exp14082020
RedL7	3251.622451	varE	2	Exp14082020
RedL8	7744.831015	varA	1	Exp14082020
RedL8	4838.615146	varE	2	Exp14082020
RedL9	2884.013184	varA	1	Exp14082020
RedL9	1900.599865	varE	2	Exp14082020
