Leaf 	varA	varE	Experiment
OrangeL1	5265.24234	3058.203503	Exp03102019
OrangeL10	6304.378565	4076.970675	Exp03102019
OrangeL2	4256.05576	2693.071198	Exp03102019
OrangeL3	4324.615263	1701.794901	Exp03102019
OrangeL4	2385.063804	535.4808423	Exp03102019
OrangeL5	4615.286238	1306.044189	Exp03102019
OrangeL6	1256.317843	528.2746694	Exp03102019
OrangeL7	4666.203858	2681.797093	Exp03102019
OrangeL8	3265.713838	1133.750421	Exp03102019
OrangeL9	3972.339666	1659.326212	Exp03102019
GreenL1	3558.641034	2407.115112	Exp08082020
GreenL10	1298.426756	799.3817297	Exp08082020
GreenL2	1842.962688	1202.996649	Exp08082020
GreenL3	1091.685964	918.057946	Exp08082020
GreenL4	1062.269531	682.6959749	Exp08082020
GreenL5	1092.987478	1000.267271	Exp08082020
GreenL6	1583.50185	961.4813871	Exp08082020
GreenL7	1553.578359	790.349767	Exp08082020
GreenL8	1380.328577	454.9714873	Exp08082020
GreenL9	1564.710786	1741.265073	Exp08082020
RedL1	6287.579751	5093.145214	Exp14082020
RedL2	7061.655053	4419.830747	Exp14082020
RedL3	5307.993199	2082.599638	Exp14082020
RedL4	4587.580951	1869.854001	Exp14082020
RedL5	4287.315467	3465.332554	Exp14082020
RedL6	3737.436986	2147.015853	Exp14082020
RedL7	5932.836831	3251.622451	Exp14082020
RedL8	7744.831015	4838.615146	Exp14082020
RedL9	2884.013184	1900.599865	Exp14082020
