Leaf 	Hrintensity	Variant	Effector 	Experiment
BlueL1	3067.353693	varF	2	Exp21082020
BlueL2	3256.552532	varF	2	Exp21082020
BlueL3	1069.951406	varF	2	Exp21082020
BlueL4	1713.363479	varF	2	Exp21082020
BlueL5	1947.809803	varF	2	Exp21082020
BlueL6	2967.80556	varF	2	Exp21082020
BlueL7	1827.127613	varF	2	Exp21082020
BlueL8	1661.740051	varF	2	Exp21082020
BlueL9	1219.243777	varF	2	Exp21082020
BlueL10	1218.605979	varF	2	Exp21082020
BlueL1	2516.061961	varA	1	Exp21082020
BlueL2	3902.215232	varA	1	Exp21082020
BlueL3	2514.369128	varA	1	Exp21082020
BlueL4	2763.302216	varA	1	Exp21082020
BlueL5	2152.508654	varA	1	Exp21082020
BlueL6	4661.466017	varA	1	Exp21082020
BlueL7	3274.808775	varA	1	Exp21082020
BlueL8	3055.557322	varA	1	Exp21082020
BlueL9	2406.398922	varA	1	Exp21082020
BlueL10	2598.333664	varA	1	Exp21082020
IM002107	3357.767067	varF	2	Exp04092020
IM002108	1974.721214	varF	2	Exp04092020
IM002109	3652.467418	varF	2	Exp04092020
IM002110	2549.963709	varF	2	Exp04092020
IM002111	2743.693195	varF	2	Exp04092020
IM002112	2604.463692	varF	2	Exp04092020
IM002113	1598.835493	varF	2	Exp04092020
IM002114	2193.507633	varF	2	Exp04092020
IM002115	1617.993401	varF	2	Exp04092020
IM002116	1905.812274	varF	2	Exp04092020
IM002107	3117.559623	varA	1	Exp04092020
IM002108	4732.928476	varA	1	Exp04092020
IM002109	4592.218159	varA	1	Exp04092020
IM002110	4385.525771	varA	1	Exp04092020
IM002111	4785.835215	varA	1	Exp04092020
IM002112	2085.669841	varA	1	Exp04092020
IM002113	4034.826673	varA	1	Exp04092020
IM002114	3386.4918	varA	1	Exp04092020
IM002115	2728.039475	varA	1	Exp04092020
IM002116	3197.323987	varA	1	Exp04092020
Red1	4119.777523	varF	2	Exp22092020
Red2	4355.432759	varF	2	Exp22092020
Red3	4886.805477	varF	2	Exp22092020
Red4	5532.216925	varF	2	Exp22092020
Red5	3120.831822	varF	2	Exp22092020
Red6	6666.39657	varF	2	Exp22092020
Red7	5715.848444	varF	2	Exp22092020
Red8	5095.957034	varF	2	Exp22092020
Red9	4208.851482	varF	2	Exp22092020
Red10	5397.688121	varF	2	Exp22092020
Red1	6539.050192	varA	1	Exp22092020
Red2	6861.647802	varA	1	Exp22092020
Red3	4739.470625	varA	1	Exp22092020
Red4	6387.046172	varA	1	Exp22092020
Red5	5818.586899	varA	1	Exp22092020
Red6	6839.169393	varA	1	Exp22092020
Red7	9281.318389	varA	1	Exp22092020
Red8	5531.802305	varA	1	Exp22092020
Red9	8530.655074	varA	1	Exp22092020
Red10	13869.81426	varA	1	Exp22092020
