Leaf 	VarA	varF	Experiment
IM002107	3117.559623	3357.767067	Exp04092020
IM002108	4732.928476	1974.721214	Exp04092020
IM002109	4592.218159	3652.467418	Exp04092020
IM002110	4385.525771	2549.963709	Exp04092020
IM002111	4785.835215	2743.693195	Exp04092020
IM002112	2085.669841	2604.463692	Exp04092020
IM002113	4034.826673	1598.835493	Exp04092020
IM002114	3386.4918	2193.507633	Exp04092020
IM002115	2728.039475	1617.993401	Exp04092020
IM002116	3197.323987	1905.812274	Exp04092020
BlueL1	2516.061961	3067.353693	Exp21082020
BlueL10	2598.333664	1218.605979	Exp21082020
BlueL2	3902.215232	3256.552532	Exp21082020
BlueL3	2514.369128	1069.951406	Exp21082020
BlueL4	2763.302216	1713.363479	Exp21082020
BlueL5	2152.508654	1947.809803	Exp21082020
BlueL6	4661.466017	2967.80556	Exp21082020
BlueL7	3274.808775	1827.127613	Exp21082020
BlueL8	3055.557322	1661.740051	Exp21082020
BlueL9	2406.398922	1219.243777	Exp21082020
Red1	6539.050192	4119.777523	Exp22092020
Red10	13869.81426	5397.688121	Exp22092020
Red2	6861.647802	4355.432759	Exp22092020
Red3	4739.470625	4886.805477	Exp22092020
Red4	6387.046172	5532.216925	Exp22092020
Red5	5818.586899	3120.831822	Exp22092020
Red6	6839.169393	6666.39657	Exp22092020
Red7	9281.318389	5715.848444	Exp22092020
Red8	5531.802305	5095.957034	Exp22092020
Red9	8530.655074	4208.851482	Exp22092020
