Leaf 	Hrintensity	Variant	Effector 	Experiment
YellowL1	2256.253973	varA	1	Exp08082020
YellowL10	1504.982789	varA	1	Exp08082020
YellowL2	3113.459585	varA	1	Exp08082020
YellowL3	2578.787238	varA	1	Exp08082020
YellowL4	1763.691702	varA	1	Exp08082020
YellowL5	1350.558234	varA	1	Exp08082020
YellowL6	1580.968528	varA	1	Exp08082020
YellowL7	2408.576753	varA	1	Exp08082020
YellowL8	724.6958011	varA	1	Exp08082020
YellowL9	2115.935078	varA	1	Exp08082020
BlueL1	4693.216187	varA	1	Exp14082020
BlueL10	2320.747858	varA	1	Exp14082020
BlueL2	4016.379127	varA	1	Exp14082020
BlueL3	2761.076979	varA	1	Exp14082020
BlueL4	4740.453086	varA	1	Exp14082020
BlueL5	1353.136163	varA	1	Exp14082020
BlueL6	1374.205858	varA	1	Exp14082020
BlueL7	1725.768052	varA	1	Exp14082020
BlueL8	776.1141966	varA	1	Exp14082020
BlueL9	2251.421905	varA	1	Exp14082020
YellowL1	667.23367	varC	2	Exp08082020
YellowL10	277.4357747	varC	2	Exp08082020
YellowL2	495.1738141	varC	2	Exp08082020
YellowL3	926.8708348	varC	2	Exp08082020
YellowL4	743.3408936	varC	2	Exp08082020
YellowL5	429.8527015	varC	2	Exp08082020
YellowL6	205.439243	varC	2	Exp08082020
YellowL7	782.843069	varC	2	Exp08082020
YellowL8	347.352888	varC	2	Exp08082020
YellowL9	632.3781958	varC	2	Exp08082020
BlueL1	519.2121099	varC	2	Exp14082020
BlueL10	493.1988802	varC	2	Exp14082020
BlueL2	1084.491362	varC	2	Exp14082020
BlueL3	196.4728008	varC	2	Exp14082020
BlueL4	1384.129281	varC	2	Exp14082020
BlueL5	305.0101729	varC	2	Exp14082020
BlueL6	322.6318084	varC	2	Exp14082020
BlueL7	339.4913566	varC	2	Exp14082020
BlueL8	194.9991155	varC	2	Exp14082020
BlueL9	472.1227756	varC	2	Exp14082020
YellowL1	5043.125222	varA	1	Exp03102019
YellowL10	5409.187624	varA	1	Exp03102019
YellowL2	5358.849103	varA	1	Exp03102019
YellowL3	3396.987232	varA	1	Exp03102019
YellowL4	5927.903604	varA	1	Exp03102019
YellowL5	4731.838097	varA	1	Exp03102019
YellowL6	5962.238509	varA	1	Exp03102019
YellowL7	2771.65405	varA	1	Exp03102019
YellowL8	3075.963833	varA	1	Exp03102019
YellowL9	4185.283893	varA	1	Exp03102019
YellowL1	3154.436094	varC	2	Exp03102019
YellowL10	4854.883835	varC	2	Exp03102019
YellowL2	2699.193565	varC	2	Exp03102019
YellowL3	2075.727205	varC	2	Exp03102019
YellowL4	5274.995515	varC	2	Exp03102019
YellowL5	4336.252651	varC	2	Exp03102019
YellowL6	4545.605933	varC	2	Exp03102019
YellowL7	1461.505463	varC	2	Exp03102019
YellowL8	1380.799862	varC	2	Exp03102019
YellowL9	5061.343063	varC	2	Exp03102019
