Leaf 	varA	varC	Experiment
YellowL1	5043.125222	3154.436094	Exp03102019
YellowL10	5409.187624	4854.883835	Exp03102019
YellowL2	5358.849103	2699.193565	Exp03102019
YellowL3	3396.987232	2075.727205	Exp03102019
YellowL4	5927.903604	5274.995515	Exp03102019
YellowL5	4731.838097	4336.252651	Exp03102019
YellowL6	5962.238509	4545.605933	Exp03102019
YellowL7	2771.65405	1461.505463	Exp03102019
YellowL8	3075.963833	1380.799862	Exp03102019
YellowL9	4185.283893	5061.343063	Exp03102019
YellowL1	2256.253973	667.23367	Exp08082020
YellowL10	1504.982789	277.4357747	Exp08082020
YellowL2	3113.459585	495.1738141	Exp08082020
YellowL3	2578.787238	926.8708348	Exp08082020
YellowL4	1763.691702	743.3408936	Exp08082020
YellowL5	1350.558234	429.8527015	Exp08082020
YellowL6	1580.968528	205.439243	Exp08082020
YellowL7	2408.576753	782.843069	Exp08082020
YellowL8	724.6958011	347.352888	Exp08082020
YellowL9	2115.935078	632.3781958	Exp08082020
BlueL1	4693.216187	519.2121099	Exp14082020
BlueL10	2320.747858	493.1988802	Exp14082020
BlueL2	4016.379127	1084.491362	Exp14082020
BlueL3	2761.076979	196.4728008	Exp14082020
BlueL4	4740.453086	1384.129281	Exp14082020
BlueL5	1353.136163	305.0101729	Exp14082020
BlueL6	1374.205858	322.6318084	Exp14082020
BlueL7	1725.768052	339.4913566	Exp14082020
BlueL8	776.1141966	194.9991155	Exp14082020
BlueL9	2251.421905	472.1227756	Exp14082020
