Leaf	Hrintensity	Effector	Variant	Experiment
YellowL1	367.9893206	2	varD	Exp10092020
YellowL10	249.8249697	2	varD	Exp10092020
YellowL2	506.1313392	2	varD	Exp10092020
YellowL3	-3.694198139	2	varD	Exp10092020
YellowL4	-29.75207949	2	varD	Exp10092020
YellowL5	258.0642539	2	varD	Exp10092020
YellowL6	227.5572784	2	varD	Exp10092020
YellowL7	338.7056334	2	varD	Exp10092020
YellowL8	615.7593946	2	varD	Exp10092020
YellowL9	194.8908451	2	varD	Exp10092020
YellowL1	3458.229953	1	varA	Exp10092020
YellowL10	1791.129679	1	varA	Exp10092020
YellowL2	2651.12381	1	varA	Exp10092020
YellowL3	3290.107201	1	varA	Exp10092020
YellowL4	2343.196789	1	varA	Exp10092020
YellowL5	2182.089222	1	varA	Exp10092020
YellowL6	2537.890304	1	varA	Exp10092020
YellowL7	4743.498635	1	varA	Exp10092020
YellowL8	2092.604215	1	varA	Exp10092020
YellowL9	3611.815399	1	varA	Exp10092020
IM002117	-197.4282011	2	varD	Exp04092020
IM002118	-90.04888455	2	varD	Exp04092020
IM002119	-32.36295228	2	varD	Exp04092020
IM002120	-247.4668561	2	varD	Exp04092020
IM002121	-3.796655583	2	varD	Exp04092020
IM002102	-61.24505618	2	varD	Exp04092020
IM002103	-164.104515	2	varD	Exp04092020
IM002104	347.9872442	2	varD	Exp04092020
IM002105	55.16830882	2	varD	Exp04092020
IM002106	-94.2233973	2	varD	Exp04092020
IM002117	3660.94335	1	varA	Exp04092020
IM002118	2900.926406	1	varA	Exp04092020
IM002119	3145.869119	1	varA	Exp04092020
IM002120	1088.095104	1	varA	Exp04092020
IM002121	3230.017898	1	varA	Exp04092020
IM002102	2165.181019	1	varA	Exp04092020
IM002103	2821.106162	1	varA	Exp04092020
IM002104	3234.64493	1	varA	Exp04092020
IM002105	3418.860557	1	varA	Exp04092020
IM002106	4081.842652	1	varA	Exp04092020
YellowL1	-19.4506478	2	varD	Exp31082020
YellowL10	125.7912425	2	varD	Exp31082020
YellowL2	0.774563452	2	varD	Exp31082020
YellowL3	206.3601825	2	varD	Exp31082020
YellowL4	-126.7605346	2	varD	Exp31082020
YellowL5	-114.9336101	2	varD	Exp31082020
YellowL6	-71.59258147	2	varD	Exp31082020
YellowL7	196.8977091	2	varD	Exp31082020
YellowL8	-70.30690027	2	varD	Exp31082020
YellowL9	137.3058798	2	varD	Exp31082020
YellowL1	4061.092123	1	varA	Exp31082020
YellowL10	2450.73016	1	varA	Exp31082020
YellowL2	2271.887754	1	varA	Exp31082020
YellowL3	3505.98835	1	varA	Exp31082020
YellowL4	4424.336547	1	varA	Exp31082020
YellowL5	3510.023004	1	varA	Exp31082020
YellowL6	1206.694373	1	varA	Exp31082020
YellowL7	2488.644563	1	varA	Exp31082020
YellowL8	2100.730901	1	varA	Exp31082020
YellowL9	3501.357645	1	varA	Exp31082020
