Leaf 	Hrintensity	Variant	Effector 	Experiment
IM002102	2657.52852	varA	1	Exp04092020
IM002103	4038.368173	varA	1	Exp04092020
IM002104	3384.959948	varA	1	Exp04092020
IM002105	4967.820984	varA	1	Exp04092020
IM002106	4954.532799	varA	1	Exp04092020
IM002117	4996.230992	varA	1	Exp04092020
IM002118	3098.872485	varA	1	Exp04092020
IM002119	3017.852052	varA	1	Exp04092020
IM002120	2847.911424	varA	1	Exp04092020
IM002121	4112.509285	varA	1	Exp04092020
YellowL1	3427.995733	varA	1	Exp10092020
YellowL10	2105.283638	varA	1	Exp10092020
YellowL2	2422.724029	varA	1	Exp10092020
YellowL3	1871.628399	varA	1	Exp10092020
YellowL4	2433.472598	varA	1	Exp10092020
YellowL5	1785.592965	varA	1	Exp10092020
YellowL6	3956.61171	varA	1	Exp10092020
YellowL7	3727.382324	varA	1	Exp10092020
YellowL8	3721.176464	varA	1	Exp10092020
YellowL9	3438.713898	varA	1	Exp10092020
Red1	6363.215509	varA	1	Exp22092020
Red10	7986.679004	varA	1	Exp22092020
Red2	9876.407135	varA	1	Exp22092020
Red3	6520.75037	varA	1	Exp22092020
Red4	6827.907182	varA	1	Exp22092020
Red5	7319.753609	varA	1	Exp22092020
Red6	7601.688154	varA	1	Exp22092020
Red7	7726.093649	varA	1	Exp22092020
Red8	5643.406741	varA	1	Exp22092020
Red9	7807.985022	varA	1	Exp22092020
IM002102	947.4522876	varG	2	Exp04092020
IM002103	1275.729633	varG	2	Exp04092020
IM002104	552.4979222	varG	2	Exp04092020
IM002105	460.4565599	varG	2	Exp04092020
IM002106	1925.870568	varG	2	Exp04092020
IM002117	708.3930682	varG	2	Exp04092020
IM002118	436.8729462	varG	2	Exp04092020
IM002119	2409.546231	varG	2	Exp04092020
IM002120	207.3368138	varG	2	Exp04092020
IM002121	1588.843229	varG	2	Exp04092020
YellowL1	1748.90502	varG	2	Exp10092020
YellowL10	553.6883137	varG	2	Exp10092020
YellowL2	737.2442746	varG	2	Exp10092020
YellowL3	428.1954619	varG	2	Exp10092020
YellowL4	372.9501948	varG	2	Exp10092020
YellowL5	1047.179464	varG	2	Exp10092020
YellowL6	742.7223839	varG	2	Exp10092020
YellowL7	810.7932016	varG	2	Exp10092020
YellowL8	1170.910817	varG	2	Exp10092020
YellowL9	1404.317099	varG	2	Exp10092020
Red1	1729.453587	varG	2	Exp22092020
Red10	1664.655733	varG	2	Exp22092020
Red2	2340.419272	varG	2	Exp22092020
Red3	2431.744499	varG	2	Exp22092020
Red4	4634.33321	varG	2	Exp22092020
Red5	1242.608297	varG	2	Exp22092020
Red6	6505.758613	varG	2	Exp22092020
Red7	3477.457882	varG	2	Exp22092020
Red8	3781.555555	varG	2	Exp22092020
Red9	1139.877327	varG	2	Exp22092020
