Leaf	varA	varG	Experiment
IM002102	2657.52852	947.4522876	Exp04092020
IM002103	4038.368173	1275.729633	Exp04092020
IM002104	3384.959948	552.4979222	Exp04092020
IM002105	4967.820984	460.4565599	Exp04092020
IM002106	4954.532799	1925.870568	Exp04092020
IM002117	4996.230992	708.3930682	Exp04092020
IM002118	3098.872485	436.8729462	Exp04092020
IM002119	3017.852052	2409.546231	Exp04092020
IM002120	2847.911424	207.3368138	Exp04092020
IM002121	4112.509285	1588.843229	Exp04092020
YellowL1	3427.995733	1748.90502	Exp10092020
YellowL10	2105.283638	553.6883137	Exp10092020
YellowL2	2422.724029	737.2442746	Exp10092020
YellowL3	1871.628399	428.1954619	Exp10092020
YellowL4	2433.472598	372.9501948	Exp10092020
YellowL5	1785.592965	1047.179464	Exp10092020
YellowL6	3956.61171	742.7223839	Exp10092020
YellowL7	3727.382324	810.7932016	Exp10092020
YellowL8	3721.176464	1170.910817	Exp10092020
YellowL9	3438.713898	1404.317099	Exp10092020
Red1	6363.215509	1729.453587	Exp22092020
Red10	7986.679004	1664.655733	Exp22092020
Red2	9876.407135	2340.419272	Exp22092020
Red3	6520.75037	2431.744499	Exp22092020
Red4	6827.907182	4634.33321	Exp22092020
Red5	7319.753609	1242.608297	Exp22092020
Red6	7601.688154	6505.758613	Exp22092020
Red7	7726.093649	3477.457882	Exp22092020
Red8	5643.406741	3781.555555	Exp22092020
Red9	7807.985022	1139.877327	Exp22092020
