Isolate	Line	Score	Experiment	Linecode
49-1	asis_34	1	Exp1	1
49-1	asis_34	1	Exp1	1
49-1	asis_34	1	Exp1	1
49-1	bPm17_34	1	Exp1	2
49-1	bPm17_34	0.75	Exp1	2
49-1	bPm17_34	1	Exp1	2
49-1	bPm17_34	1	Exp1	2
49-1	bPm17_34	1	Exp1	2
49-1	bPm17_34	1	Exp1	2
49-1	csis_181	1	Exp1	3
49-1	csis_181	1	Exp1	3
49-1	csis_181	1	Exp1	3
49-1	dPm17_181	1	Exp1	4
49-1	dPm17_181	0.75	Exp1	4
49-1	dPm17_181	1	Exp1	4
49-1	dPm17_181	1	Exp1	4
49-1	dPm17_181	1	Exp1	4
49-1	dPm17_181	1	Exp1	4
49-1	asis_34	1	Exp2	1
49-1	asis_34	1	Exp2	1
49-1	asis_34	1	Exp2	1
49-1	asis_34	1	Exp2	1
49-1	asis_34	1	Exp2	1
49-1	asis_34	1	Exp2	1
49-1	bPm17_34	1	Exp2	2
49-1	bPm17_34	1	Exp2	2
49-1	bPm17_34	1	Exp2	2
49-1	bPm17_34	1	Exp2	2
49-1	bPm17_34	0.75	Exp2	2
49-1	bPm17_34	1	Exp2	2
49-1	csis_181	1	Exp2	3
49-1	csis_181	1	Exp2	3
49-1	csis_181	1	Exp2	3
49-1	csis_181	1	Exp2	3
49-1	csis_181	1	Exp2	3
49-1	csis_181	1	Exp2	3
49-1	dPm17_181	1	Exp2	4
49-1	dPm17_181	1	Exp2	4
49-1	dPm17_181	1	Exp2	4
49-1	dPm17_181	1	Exp2	4
49-1	dPm17_181	1	Exp2	4
49-1	dPm17_181	1	Exp2	4
49-1	asis_34	1	Exp3	1
49-1	asis_34	1	Exp3	1
49-1	asis_34	1	Exp3	1
49-1	asis_34	1	Exp3	1
49-1	asis_34	1	Exp3	1
49-1	asis_34	1	Exp3	1
49-1	bPm17_34	1	Exp3	2
49-1	bPm17_34	1	Exp3	2
49-1	bPm17_34	1	Exp3	2
49-1	bPm17_34	1	Exp3	2
49-1	bPm17_34	1	Exp3	2
49-1	bPm17_34	1	Exp3	2
49-1	csis_181	1	Exp3	3
49-1	csis_181	1	Exp3	3
49-1	csis_181	1	Exp3	3
49-1	csis_181	1	Exp3	3
49-1	csis_181	1	Exp3	3
49-1	csis_181	1	Exp3	3
49-1	dPm17_181	1	Exp3	4
49-1	dPm17_181	1	Exp3	4
49-1	dPm17_181	1	Exp3	4
49-1	dPm17_181	1	Exp3	4
49-1	dPm17_181	1	Exp3	4
49-1	dPm17_181	1	Exp3	4
