Isolate	Line	Score	Experiment	Linecode
GZ-6	asis_34	1	Exp1	1
GZ-6	asis_34	1	Exp1	1
GZ-6	asis_34	1	Exp1	1
GZ-6	bPm17_34	1	Exp1	2
GZ-6	bPm17_34	1	Exp1	2
GZ-6	bPm17_34	1	Exp1	2
GZ-6	bPm17_34	1	Exp1	2
GZ-6	bPm17_34	1	Exp1	2
GZ-6	bPm17_34	1	Exp1	2
GZ-6	csis_181	1	Exp1	3
GZ-6	csis_181	1	Exp1	3
GZ-6	csis_181	1	Exp1	3
GZ-6	dPm17_181	1	Exp1	4
GZ-6	dPm17_181	1	Exp1	4
GZ-6	dPm17_181	1	Exp1	4
GZ-6	dPm17_181	1	Exp1	4
GZ-6	dPm17_181	1	Exp1	4
GZ-6	dPm17_181	0.75	Exp1	4
GZ-6	asis_34	1	Exp2	1
GZ-6	asis_34	1	Exp2	1
GZ-6	asis_34	1	Exp2	1
GZ-6	asis_34	1	Exp2	1
GZ-6	asis_34	1	Exp2	1
GZ-6	asis_34	1	Exp2	1
GZ-6	bPm17_34	1	Exp2	2
GZ-6	bPm17_34	1	Exp2	2
GZ-6	bPm17_34	1	Exp2	2
GZ-6	bPm17_34	1	Exp2	2
GZ-6	bPm17_34	1	Exp2	2
GZ-6	bPm17_34	1	Exp2	2
GZ-6	csis_181	1	Exp2	3
GZ-6	csis_181	1	Exp2	3
GZ-6	csis_181	1	Exp2	3
GZ-6	csis_181	1	Exp2	3
GZ-6	csis_181	1	Exp2	3
GZ-6	csis_181	1	Exp2	3
GZ-6	dPm17_181	1	Exp2	4
GZ-6	dPm17_181	1	Exp2	4
GZ-6	dPm17_181	1	Exp2	4
GZ-6	dPm17_181	1	Exp2	4
GZ-6	dPm17_181	1	Exp2	4
GZ-6	dPm17_181	1	Exp2	4
GZ-6	asis_34	1	Exp3	1
GZ-6	asis_34	1	Exp3	1
GZ-6	asis_34	1	Exp3	1
GZ-6	asis_34	1	Exp3	1
GZ-6	asis_34	1	Exp3	1
GZ-6	asis_34	1	Exp3	1
GZ-6	bPm17_34	1	Exp3	2
GZ-6	bPm17_34	1	Exp3	2
GZ-6	bPm17_34	1	Exp3	2
GZ-6	bPm17_34	1	Exp3	2
GZ-6	bPm17_34	1	Exp3	2
GZ-6	bPm17_34	1	Exp3	2
GZ-6	csis_181	1	Exp3	3
GZ-6	csis_181	1	Exp3	3
GZ-6	csis_181	1	Exp3	3
GZ-6	csis_181	1	Exp3	3
GZ-6	csis_181	1	Exp3	3
GZ-6	csis_181	1	Exp3	3
GZ-6	dPm17_181	1	Exp3	4
GZ-6	dPm17_181	1	Exp3	4
GZ-6	dPm17_181	1	Exp3	4
GZ-6	dPm17_181	1	Exp3	4
GZ-6	dPm17_181	1	Exp3	4
GZ-6	dPm17_181	1	Exp3	4
