Isolate	Line	Score	Experiment	Linecode
Shiho	asis_34	1	Exp1	1
Shiho	asis_34	1	Exp1	1
Shiho	asis_34	0.25	Exp1	1
Shiho	bPm17_34	0.25	Exp1	2
Shiho	bPm17_34	0.25	Exp1	2
Shiho	bPm17_34	0.75	Exp1	2
Shiho	bPm17_34	0.75	Exp1	2
Shiho	bPm17_34	0.25	Exp1	2
Shiho	bPm17_34	0.25	Exp1	2
Shiho	csis_181	1	Exp1	3
Shiho	csis_181	1	Exp1	3
Shiho	csis_181	1	Exp1	3
Shiho	dPm17_181	0.25	Exp1	4
Shiho	dPm17_181	0.25	Exp1	4
Shiho	dPm17_181	0.25	Exp1	4
Shiho	dPm17_181	0.25	Exp1	4
Shiho	dPm17_181	0.25	Exp1	4
Shiho	dPm17_181	0.25	Exp1	4
Shiho	asis_34	1	Exp2	1
Shiho	asis_34	1	Exp2	1
Shiho	asis_34	1	Exp2	1
Shiho	asis_34	1	Exp2	1
Shiho	asis_34	1	Exp2	1
Shiho	asis_34	1	Exp2	1
Shiho	bPm17_34	0.75	Exp2	2
Shiho	bPm17_34	0.75	Exp2	2
Shiho	bPm17_34	0.75	Exp2	2
Shiho	bPm17_34	1	Exp2	2
Shiho	bPm17_34	0.5	Exp2	2
Shiho	bPm17_34	0.5	Exp2	2
Shiho	csis_181	1	Exp2	3
Shiho	csis_181	1	Exp2	3
Shiho	csis_181	1	Exp2	3
Shiho	csis_181	1	Exp2	3
Shiho	csis_181	1	Exp2	3
Shiho	csis_181	1	Exp2	3
Shiho	dPm17_181	0.25	Exp2	4
Shiho	dPm17_181	0	Exp2	4
Shiho	dPm17_181	0	Exp2	4
Shiho	dPm17_181	0	Exp2	4
Shiho	dPm17_181	0.25	Exp2	4
Shiho	dPm17_181	0	Exp2	4
Shiho	asis_34	1	Exp3	1
Shiho	asis_34	1	Exp3	1
Shiho	asis_34	1	Exp3	1
Shiho	asis_34	1	Exp3	1
Shiho	asis_34	1	Exp3	1
Shiho	asis_34	1	Exp3	1
Shiho	bPm17_34	0.5	Exp3	2
Shiho	bPm17_34	0.5	Exp3	2
Shiho	bPm17_34	0.25	Exp3	2
Shiho	bPm17_34	0	Exp3	2
Shiho	bPm17_34	0.25	Exp3	2
Shiho	bPm17_34	0.5	Exp3	2
Shiho	csis_181	1	Exp3	3
Shiho	csis_181	1	Exp3	3
Shiho	csis_181	1	Exp3	3
Shiho	csis_181	1	Exp3	3
Shiho	csis_181	1	Exp3	3
Shiho	csis_181	1	Exp3	3
Shiho	dPm17_181	0.5	Exp3	4
Shiho	dPm17_181	0	Exp3	4
Shiho	dPm17_181	0	Exp3	4
Shiho	dPm17_181	0	Exp3	4
Shiho	dPm17_181	0	Exp3	4
Shiho	dPm17_181	0.25	Exp3	4
