Isolate	Line	Score	Experiment	Linecode
USA7	asis_34	1	Exp1	1
USA7	asis_34	1	Exp1	1
USA7	asis_34	1	Exp1	1
USA7	bPm17_34	0.75	Exp1	2
USA7	bPm17_34	0.75	Exp1	2
USA7	bPm17_34	0.75	Exp1	2
USA7	bPm17_34	0.5	Exp1	2
USA7	bPm17_34	0.5	Exp1	2
USA7	bPm17_34	0.5	Exp1	2
USA7	csis_181	1	Exp1	3
USA7	csis_181	1	Exp1	3
USA7	csis_181	1	Exp1	3
USA7	dPm17_181	0.75	Exp1	4
USA7	dPm17_181	0.75	Exp1	4
USA7	dPm17_181	0.5	Exp1	4
USA7	dPm17_181	0.5	Exp1	4
USA7	dPm17_181	0.5	Exp1	4
USA7	dPm17_181	0.5	Exp1	4
USA7	asis_34	1	Exp2	1
USA7	asis_34	1	Exp2	1
USA7	asis_34	1	Exp2	1
USA7	asis_34	1	Exp2	1
USA7	asis_34	1	Exp2	1
USA7	asis_34	1	Exp2	1
USA7	bPm17_34	1	Exp2	2
USA7	bPm17_34	0.5	Exp2	2
USA7	bPm17_34	0.75	Exp2	2
USA7	bPm17_34	0.25	Exp2	2
USA7	bPm17_34	0.5	Exp2	2
USA7	bPm17_34	0.25	Exp2	2
USA7	csis_181	1	Exp2	3
USA7	csis_181	1	Exp2	3
USA7	csis_181	1	Exp2	3
USA7	csis_181	1	Exp2	3
USA7	csis_181	1	Exp2	3
USA7	csis_181	1	Exp2	3
USA7	dPm17_181	1	Exp2	4
USA7	dPm17_181	0.75	Exp2	4
USA7	dPm17_181	0.5	Exp2	4
USA7	dPm17_181	0.5	Exp2	4
USA7	dPm17_181	0.75	Exp2	4
USA7	dPm17_181	0.25	Exp2	4
USA7	asis_34	1	Exp3	1
USA7	asis_34	1	Exp3	1
USA7	asis_34	1	Exp3	1
USA7	asis_34	1	Exp3	1
USA7	asis_34	1	Exp3	1
USA7	asis_34	1	Exp3	1
USA7	bPm17_34	0.75	Exp3	2
USA7	bPm17_34	0.5	Exp3	2
USA7	bPm17_34	0.75	Exp3	2
USA7	bPm17_34	0.5	Exp3	2
USA7	bPm17_34	1	Exp3	2
USA7	bPm17_34	0.25	Exp3	2
USA7	csis_181	1	Exp3	3
USA7	csis_181	1	Exp3	3
USA7	csis_181	1	Exp3	3
USA7	csis_181	1	Exp3	3
USA7	csis_181	1	Exp3	3
USA7	csis_181	1	Exp3	3
USA7	dPm17_181	0.25	Exp3	4
USA7	dPm17_181	0	Exp3	4
USA7	dPm17_181	0.25	Exp3	4
USA7	dPm17_181	0.25	Exp3	4
USA7	dPm17_181	0	Exp3	4
USA7	dPm17_181	0.25	Exp3	4
