Leaf	Hrintensity	Variant	Effector	Experiment
YellowL1	1510.02788	varB	1	Exp11102019
YellowL10	3603.047555	varB	1	Exp11102019
YellowL2	1181.453839	varB	1	Exp11102019
YellowL3	1013.68731	varB	1	Exp11102019
YellowL4	2011.27931	varB	1	Exp11102019
YellowL5	1937.173453	varB	1	Exp11102019
YellowL6	2640.926048	varB	1	Exp11102019
YellowL7	567.1418579	varB	1	Exp11102019
YellowL8	341.7400625	varB	1	Exp11102019
YellowL9	3278.497711	varB	1	Exp11102019
YellowL1	2850.302263	varC	2	Exp11102019
YellowL10	4240.62708	varC	2	Exp11102019
YellowL2	1761.107446	varC	2	Exp11102019
YellowL3	1988.044467	varC	2	Exp11102019
YellowL4	4519.856776	varC	2	Exp11102019
YellowL5	4195.690195	varC	2	Exp11102019
YellowL6	3719.856948	varC	2	Exp11102019
YellowL7	651.1422679	varC	2	Exp11102019
YellowL8	2351.679209	varC	2	Exp11102019
YellowL9	4914.623047	varC	2	Exp11102019
WhiteL1	3183.915387	varB	1	Exp10032019
WhiteL10	2273.080342	varB	1	Exp10032019
WhiteL2	1975.854641	varB	1	Exp10032019
WhiteL3	2261.590438	varB	1	Exp10032019
WhiteL4	2071.776884	varB	1	Exp10032019
WhiteL5	1090.731428	varB	1	Exp10032019
WhiteL6	2497.68828	varB	1	Exp10032019
WhiteL7	571.8530196	varB	1	Exp10032019
WhiteL8	704.6319514	varB	1	Exp10032019
WhiteL9	1496.452588	varB	1	Exp10032019
WhiteL1	2546.604881	varC	2	Exp10032019
WhiteL10	2965.646207	varC	2	Exp10032019
WhiteL2	5087.027783	varC	2	Exp10032019
WhiteL3	4970.650077	varC	2	Exp10032019
WhiteL4	3625.026178	varC	2	Exp10032019
WhiteL5	2183.294533	varC	2	Exp10032019
WhiteL6	3369.869859	varC	2	Exp10032019
WhiteL7	1120.664932	varC	2	Exp10032019
WhiteL8	2872.059757	varC	2	Exp10032019
WhiteL9	1182.204848	varC	2	Exp10032019
GreenL1	2744.221141	varB	1	Exp01012022
GreenL10	1302.377617	varB	1	Exp01012022
GreenL2	1113.513273	varB	1	Exp01012022
GreenL3	1806.242272	varB	1	Exp01012022
GreenL4	1019.106554	varB	1	Exp01012022
GreenL5	1045.683413	varB	1	Exp01012022
GreenL6	2006.301432	varB	1	Exp01012022
GreenL7	3188.360929	varB	1	Exp01012022
GreenL8	890.367075	varB	1	Exp01012022
GreenL9	1201.270901	varB	1	Exp01012022
GreenL1	5634.270494	varC	2	Exp01012022
GreenL10	3975.655278	varC	2	Exp01012022
GreenL2	2475.944226	varC	2	Exp01012022
GreenL3	2427.635036	varC	2	Exp01012022
GreenL4	2197.000399	varC	2	Exp01012022
GreenL5	1086.797918	varC	2	Exp01012022
GreenL6	3417.734696	varC	2	Exp01012022
GreenL7	3911.687475	varC	2	Exp01012022
GreenL8	2584.078806	varC	2	Exp01012022
GreenL9	3000.351672	varC	2	Exp01012022
