Leaf	varB	varC	Experiment
WhiteL1	3183.915387	2546.604881	Exp10032019
WhiteL10	2273.080342	2965.646207	Exp10032019
WhiteL2	1975.854641	5087.027783	Exp10032019
WhiteL3	2261.590438	4970.650077	Exp10032019
WhiteL4	2071.776884	3625.026178	Exp10032019
WhiteL5	1090.731428	2183.294533	Exp10032019
WhiteL6	2497.68828	3369.869859	Exp10032019
WhiteL7	571.8530196	1120.664932	Exp10032019
WhiteL8	704.6319514	2872.059757	Exp10032019
WhiteL9	1496.452588	1182.204848	Exp10032019
YellowL1	1510.02788	2850.302263	Exp11102019
YellowL10	3603.047555	4240.62708	Exp11102019
YellowL2	1181.453839	1761.107446	Exp11102019
YellowL3	1013.68731	1988.044467	Exp11102019
YellowL4	2011.27931	4519.856776	Exp11102019
YellowL5	1937.173453	4195.690195	Exp11102019
YellowL6	2640.926048	3719.856948	Exp11102019
YellowL7	567.1418579	651.1422679	Exp11102019
YellowL8	341.7400625	2351.679209	Exp11102019
YellowL9	3278.4977	4914.6230	Exp11102019
